name,image_url,source_page
Benjamin Yelle,https://cssh.northeastern.edu/wp-content/uploads/2020/01/PHIL-Yelle-web-400x400.jpg,https://cssh.northeastern.edu/faculty/benjamin-yelle/
Dan Metzger,https://cssh.northeastern.edu/wp-content/uploads/2021/08/neu_bz614m063-400x400.jpg,https://cssh.northeastern.edu/faculty/dan-metzger/
Julie Baker,https://cps.northeastern.edu/wp-content/uploads/2024/06/Julie20Baker20blkwht-1-150x150.jpg,https://cps.northeastern.edu/faculty/julie-baker/
Tareq Nasralah,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/10/Nasralah_520x520.jpg,https://damore-mckim.northeastern.edu/people/tareq-nasralah/
Kate Ashley,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/ashley-1308-Edit-Resized.jpg,https://damore-mckim.northeastern.edu/people/kate-ashley/
Silvia Dominguez,https://cssh.northeastern.edu/wp-content/uploads/2020/01/SOCANT-Dominguez-web-400x400.jpg,https://cssh.northeastern.edu/faculty/silvia-dominguez/
Curtis Odom,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/curtis-odom-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/curtis-odom/
Daniel Adams,https://cssh.northeastern.edu/wp-content/uploads/2020/05/Dan-Adams-Headshot-e1563900545731-360x360-1-400x400.jpg,https://cssh.northeastern.edu/faculty/dan-adams/
Yafeng Wang,https://cssh.northeastern.edu/wp-content/uploads/2024/08/Screenshot-2024-08-22-at-3.36.20-PM-400x400.png,https://cssh.northeastern.edu/faculty/yafeng-wang/
Lee Moreau,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/01/Lee_M_1x1-300x300.jpg,https://camd.northeastern.edu/people/lee-moreau/
Ganesh Krishnamoorthy,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/krishnamoorthy_ganesh121418.jpg,https://damore-mckim.northeastern.edu/people/ganesh-krishnamoorthy/
Aaron Hoffman,https://cssh.northeastern.edu/wp-content/uploads/2022/08/ahoffman.img_.1126368648-400x400.png,https://cssh.northeastern.edu/faculty/aaron-hoffman/
Sophia Ainslie,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/AD_Ainslie_S0804002.jpg,https://camd.northeastern.edu/people/sophia-ainslie/
Matthew Smith,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/03/matthew-smith-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/matthew-smith/
David Nace,https://damore-mckim.northeastern.edu/wp-content/uploads/2024/09/david-nace-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/david-nace/
John Wegner,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2024/08/7671John_Wegner_1_1-300x300.jpg,https://camd.northeastern.edu/people/john-wegner/
Timothy Tardiff,https://cssh.northeastern.edu/wp-content/uploads/2022/07/timothy-tardiff-1-400x400.jpg,https://cssh.northeastern.edu/faculty/timothy-j-tardiff/
Heather Littlefield,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Heather-Littlefield-web-400x400.jpg,https://cssh.northeastern.edu/faculty/heather-littlefield/
Apoorva Koticha,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/09/koticha_520x520.jpg,https://damore-mckim.northeastern.edu/people/apoo-koticha/
Heatherjean MacNeil,https://damore-mckim.northeastern.edu/wp-content/uploads/2022/08/heatherjean-macneil-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/heatherjean-macneil/
Douglass Scott,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/06/douglass.scott_-300x225.jpg,https://camd.northeastern.edu/people/douglass-scott/
Pierre Tchetgen,https://cssh.northeastern.edu/wp-content/uploads/2024/02/PierreValeryTchetgen_1-1-768x768-1-400x400.png,https://cssh.northeastern.edu/faculty/pierre-valery-tchetgen/
Maura McClafferty,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/04/maura_mcclafferty_headshot520x520px.png,https://damore-mckim.northeastern.edu/people/maura-mcclafferty/
Shane Schweitzer,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/07/shane-schweitzer-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/shane-schweitzer/
Krista Larsen,https://cssh.northeastern.edu/wp-content/uploads/2013/12/Krista-Larsen-Final-Headshot-400x400.jpg,https://cssh.northeastern.edu/faculty/krista-larsen/
Nikki James,https://damore-mckim.northeastern.edu/wp-content/uploads/2021/09/nikki-james-headshot.png,https://damore-mckim.northeastern.edu/people/nikki-james/
Tarushi Sonthalia,https://cssh.northeastern.edu/wp-content/uploads/2025/08/IMG_9402-4-400x400.jpg,https://cssh.northeastern.edu/faculty/tarushi-sonthalia/
Martin Dias,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Dias_Martin.jpg,https://damore-mckim.northeastern.edu/people/martin-dias/
Mengchao Ai,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/08/mengchao-ai-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/mengchao-ai/
Christopher Barney,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2024/12/Chris_Barney_1.1-300x300.jpg,https://camd.northeastern.edu/people/christopher-aaron-barney/
Cammy Brothers,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/CammyBrothers_1-1-300x300.png,https://camd.northeastern.edu/people/cammy-brothers/
Ruth Aguilera,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/R_Arguilera_520x520.jpg,https://damore-mckim.northeastern.edu/people/ruth-v-aguilera/
James Gutierrez,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2024/12/James_Gutierrez_1.1-300x300.jpg,https://camd.northeastern.edu/people/james-gutierrez/
Michelle Laboy,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2025/01/Michelle_Laboy_1.1-300x300.jpg,https://camd.northeastern.edu/people/michelle-laboy/
Joseph  Henry,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/08/joseph-henry-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/joseph-henry/
Gloria Ferrer Morera,https://damore-mckim.northeastern.edu/wp-content/uploads/2024/01/gloria-ferrer-morera-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/gloria-ferrer-morera/
Max Abrahms,https://cssh.northeastern.edu/wp-content/uploads/2013/08/Max-Abrahms-e1610134540361-400x400.jpg,https://cssh.northeastern.edu/faculty/max-abrahms/
Roy  Gernhardt,https://cssh.northeastern.edu/wp-content/uploads/2025/07/RoyG_Headshot_06-13-25-400x400.jpg,https://cssh.northeastern.edu/faculty/roy-gernhardt/
Peter Fraunholtz,https://cssh.northeastern.edu/wp-content/uploads/2016/07/Peter-Fraunholtz-1-400x400.png,https://cssh.northeastern.edu/faculty/peter-fraunholtz/
Jacob Stump,https://cssh.northeastern.edu/wp-content/uploads/2019/06/stumpj.photo_-400x400.jpg,https://cssh.northeastern.edu/faculty/jacob-stump/
Wallace Lages,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/07/WallaceLages_1-1-300x300.png,https://camd.northeastern.edu/people/wallace-lages/
Madhavi Venkatesan,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Madhavi-Venkatesan-414x522-1-400x400.png,https://cssh.northeastern.edu/faculty/madhavi-venkatesan/
Gastón de los Reyes,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/01/gaston-de-los-reyes-headshot520x520px.jpeg,https://damore-mckim.northeastern.edu/people/gaston-de-los-reyes/
Patrick Jones,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/10/Jones_HS-e1666974544675.jpg,https://camd.northeastern.edu/people/patrick-jones/
Kathleen Creel,https://cssh.northeastern.edu/wp-content/uploads/2021/08/Kathleen-Creel-400x400.jpeg,https://cssh.northeastern.edu/faculty/kathleen-katie-creel/
Xiaolin Shi,https://cssh.northeastern.edu/wp-content/uploads/2020/08/XiaolinShi16-400x400.jpg,https://cssh.northeastern.edu/faculty/xiaolin-shi/
James Dew,https://cssh.northeastern.edu/wp-content/uploads/2020/01/dew-kurt-400x400.jpg,https://cssh.northeastern.edu/faculty/james-kurt-dew/
Aleks Gollu,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Aleks_Gollu.jpg,https://damore-mckim.northeastern.edu/people/aleks-gollu/
Stephen Warren,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/08/stephen.warren-300x300.jpeg,https://camd.northeastern.edu/people/stephen-warren/
Kamila Kehoe,https://cssh.northeastern.edu/wp-content/uploads/2023/08/kamila-kehoe-scaled-e1693254539268-400x400.jpeg,https://cssh.northeastern.edu/faculty/kamila-kehoe/
Patrick Hurley,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/01/patrick-hurley-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/patrick-hurley/
Fabricius Somogyi,https://damore-mckim.northeastern.edu/wp-content/uploads/2022/08/Fabricius-Somogyi_NEU-min-scaled-e1666617483965-1040x1040.jpg,https://damore-mckim.northeastern.edu/people/fabricius-somogyi/
Nan Zhou,https://cssh.northeastern.edu/wp-content/uploads/2024/08/nan-Zhou-400x400.jpeg,https://cssh.northeastern.edu/faculty/nan-zhou/
Felicia Lassk,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Felicia_Lassk.jpg,https://damore-mckim.northeastern.edu/people/felicia-lassk/
Solomon Opare,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/08/solomon-opare-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/solomon-opare/
Daniel Nwogwugwu,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2024/12/Daniel_Nwogwugwu_1.1-300x300.jpg,https://camd.northeastern.edu/people/daniel-nwogwugwu/
Ifa Khan,https://damore-mckim.northeastern.edu/wp-content/uploads/2022/02/28ad276.jpeg,https://damore-mckim.northeastern.edu/people/iffat-khan/
Sam Sacco,https://cps.northeastern.edu/wp-content/uploads/2024/06/Samuel20Sacco20File20Photo2028129-1-150x150.jpg,https://cps.northeastern.edu/faculty/sam-sacco/
Panagoula Diamanti-Karanou,https://cssh.northeastern.edu/wp-content/uploads/2020/01/POLS-Diamanti-Karanou-1-400x400.jpg,https://cssh.northeastern.edu/faculty/panagoula-diamanti-karanou/
Laney Strange,https://cssh.northeastern.edu/wp-content/uploads/2021/06/laneystrange-400x400.jpeg,https://cssh.northeastern.edu/faculty/laney-strange/
Robert Durant,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/09/rob-durant-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/rob-durant/
Carolyn Sirois,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Sirois-Carolyn-414-x-512-px-400x400.png,https://cssh.northeastern.edu/faculty/carolyn-sirois/
Jennifer Cullen,https://cssh.northeastern.edu/wp-content/uploads/2024/06/Cullen-headshot-400x400.jpg,https://cssh.northeastern.edu/faculty/jennifer-cullen/
Ivan Rupnik,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/IvanRupnik_1-1-300x300.png,https://camd.northeastern.edu/people/ivan-rupnik/
Carlene Hempel,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/Carlene_Hempel_1.1-300x300.jpg,https://camd.northeastern.edu/people/carlene-hempel/
Michael Ruff,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/MichaelRuff.jpg,https://damore-mckim.northeastern.edu/people/michael-f-ruff/
Christopher Miller,https://damore-mckim.northeastern.edu/wp-content/uploads/2021/07/cmiller3.jpg,https://damore-mckim.northeastern.edu/people/christopher-miller/
Skylar Borgstrom,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/08/SkylarBorgstrom_1-1-1-300x300.png,https://camd.northeastern.edu/people/skylar-borgstrom/
Colin Connors,https://cssh.northeastern.edu/wp-content/uploads/2020/07/Screen-Shot-2021-08-17-at-11.41.17-AM-400x400.png,https://cssh.northeastern.edu/faculty/colin-connors/
Andrew Butler,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/02/andrew-butler-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/andrew-butler/
Debashish Ghose,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/09/debashish-ghose520x520.jpg,https://damore-mckim.northeastern.edu/people/debashish-ghose/
Hua Dong,https://cssh.northeastern.edu/wp-content/uploads/2020/01/WLC-Hua-Dong-web-400x400.jpg,https://cssh.northeastern.edu/faculty/hua-dong/
Iesha Karasik,https://damore-mckim.northeastern.edu/wp-content/uploads/2021/09/I_Karasik_lr.jpg,https://damore-mckim.northeastern.edu/people/ieshia-karasik/
Mark Gooley,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Mark_Gooley.jpg,https://damore-mckim.northeastern.edu/people/mark-gooley/
Deborah Soule,https://damore-mckim.northeastern.edu/wp-content/uploads/2024/09/deborah-soule-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/deborah-soule/
Ravit Heskiau,https://damore-mckim.northeastern.edu/wp-content/uploads/2020/03/ravit-headshot-520x520.jpg,https://damore-mckim.northeastern.edu/people/ravit-heskiau/
Michael McCluskey,https://cssh.northeastern.edu/wp-content/uploads/2021/08/McCluskey-Headshot-400x400.jpeg,https://cssh.northeastern.edu/faculty/michael-mccluskey/
Jacques Alexis,https://cps.northeastern.edu/wp-content/uploads/2025/10/jacques-alexis-150x150.jpg,https://cps.northeastern.edu/faculty/jacques-alexis/
Ted Moss,https://cssh.northeastern.edu/wp-content/uploads/2020/01/ENG-Moss-web1-400x400.jpg,https://cssh.northeastern.edu/faculty/edward-moss/
Mauricio Codesso,https://damore-mckim.northeastern.edu/wp-content/uploads/2020/01/mauricio-codesso-headshot.jpg,https://damore-mckim.northeastern.edu/people/mauricio-codesso/
Leonard Glick,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Leonard_Glick.jpg,https://damore-mckim.northeastern.edu/people/leonard-j-glick/
Chris Bruell,https://cssh.northeastern.edu/wp-content/uploads/2021/09/Christopher-Bruell-Headshot-400x400.jpeg,https://cssh.northeastern.edu/faculty/christopher-bruell/
Shiawee Yang,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Yang-Shawee-194x199-1-400x400.jpg,https://cssh.northeastern.edu/faculty/shiawee-yang/
Samina Karim,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Samina-Karim-Headshot-Square-1040x1040.jpg,https://damore-mckim.northeastern.edu/people/samina-karim/
Roderick Ireland,https://cssh.northeastern.edu/wp-content/uploads/2020/01/CJ-Ireland-web-400x400.jpg,https://cssh.northeastern.edu/faculty/roderick-ireland/
Peter Fell,https://cps.northeastern.edu/wp-content/uploads/2024/06/DSC_002420-20Copy202822920-20Copy_0-1-150x150.jpg,https://cps.northeastern.edu/faculty/peter-fell/
Anjanette Chan Tack,https://cssh.northeastern.edu/wp-content/uploads/2021/09/Anjie-Harvard-Hutchins-photo-PS1-headshot-400x400.png,https://cssh.northeastern.edu/faculty/anjanette-chan-tack/
Molly Buchanan,https://cssh.northeastern.edu/wp-content/uploads/2023/08/Molly-Buchanan-400x400.jpeg,https://cssh.northeastern.edu/faculty/molly-buchanan/
Matthew Noonan,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Noonan-Matt-414-x-512-px-400x400.png,https://cssh.northeastern.edu/faculty/matthew-noonan/
John Kane,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/JohnKane_1-1-300x300.png,https://camd.northeastern.edu/people/john-kane/
Emily Mann,https://cssh.northeastern.edu/wp-content/uploads/2013/12/IMG_8818-400x400.jpeg,https://cssh.northeastern.edu/faculty/emily-mann/
Ryan Ellis,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/COM_Ellis_R1429024.rev_-e1542205236526-300x286.jpg,https://camd.northeastern.edu/people/ryan-ellis/
Hema Seshadri,https://cps.northeastern.edu/wp-content/uploads/2024/06/latha11_0-1-150x150.jpg,https://cps.northeastern.edu/faculty/hema-seshadri/
Eliza Osorio,https://cssh.northeastern.edu/wp-content/uploads/2013/08/Max-Abrahms-e1610134540361-400x400-c-default.jpg,https://cssh.northeastern.edu/faculty/eliza-osorio-castro/
